Id,TargetWord,Meaning,TargetLanguageId,MeaningLanguageId,NextReviewDate,hasOrdNetMeaning,hasSound,IsAmbiguous,NofSpace,WrittenByMe,IsMovieSubtitle,StartTime,EndTime,MovieName,UserId
2,krige,Unfamiliar,1,2,2016-05-11 20:12:13.367,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,7d8d23dd-2983-4ae0-8507-87a17e12bb9a
3,pligt,duty,1,2,2015-12-26 13:45:52.907,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,7d8d23dd-2983-4ae0-8507-87a17e12bb9a
4,stemning,atmosphere,1,2,2015-12-25 15:44:55.017,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,7d8d23dd-2983-4ae0-8507-87a17e12bb9a
5,kampråb,battle cry,1,2,2015-12-26 13:54:33.763,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,7d8d23dd-2983-4ae0-8507-87a17e12bb9a
6,opfordrer, urges,1,2,2015-12-26 13:54:43.130,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,7d8d23dd-2983-4ae0-8507-87a17e12bb9a
7,indordne, fit,1,2,2015-12-26 13:54:51.530,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,7d8d23dd-2983-4ae0-8507-87a17e12bb9a
8,tæv,whacking,1,2,2015-12-26 15:38:58.273,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,7d8d23dd-2983-4ae0-8507-87a17e12bb9a
9,beriget,enriched,1,2,2015-12-26 15:45:13.917,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,7d8d23dd-2983-4ae0-8507-87a17e12bb9a
10,skudt,shot,1,2,2015-12-26 16:02:44.480,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,7d8d23dd-2983-4ae0-8507-87a17e12bb9a
11,forekomst,occurrence,1,2,2015-12-26 16:03:26.157,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,7d8d23dd-2983-4ae0-8507-87a17e12bb9a
12,fungere,function,1,2,2015-12-26 16:04:18.373,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,7d8d23dd-2983-4ae0-8507-87a17e12bb9a
13,pøt,Poet,1,2,2015-12-26 16:04:36.897,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,7d8d23dd-2983-4ae0-8507-87a17e12bb9a
14,midaldrende, middle aged,1,2,2015-12-26 16:04:50.640,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,7d8d23dd-2983-4ae0-8507-87a17e12bb9a
15,pindsvin, Hedgehogs,1,2,2015-12-26 16:05:16.267,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,7d8d23dd-2983-4ae0-8507-87a17e12bb9a
16,pronominer,Pronouns,1,2,2015-12-26 16:05:59.917,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,7d8d23dd-2983-4ae0-8507-87a17e12bb9a
17,tidsafstand, time interval,1,2,2015-12-26 16:06:09.533,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,7d8d23dd-2983-4ae0-8507-87a17e12bb9a
